iter,loss,event_time,event_times
82,0.010664975955486242,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
83,0.01066497624071714,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
84,0.010664977162954193,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
85,0.010664977976130538,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
86,0.01066497813099465,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
87,0.010664977570334177,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
88,0.010664976679322636,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
89,0.010664975978077123,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
90,0.010664975783056809,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
91,0.010664976049118369,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
92,0.010664976460138644,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
93,0.010664976671294922,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
94,0.010664976527218527,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
95,0.010664976125951983,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
96,0.010664975715575335,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
97,0.010664975513557497,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
98,0.01066497557317394,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
99,0.010664975776139106,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
100,0.010664975938242552,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
101,0.01066497594016377,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
102,0.010664975792321377,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
103,0.01066497560371465,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
104,0.010664975493290315,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
105,0.010664975510548366,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
106,0.010664975614022071,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
107,0.010664975712835856,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
108,0.010664975735060015,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
109,0.010664975672635298,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
110,0.010664975575484905,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
111,0.010664975507362317,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
112,0.010664975500371252,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
113,0.010664975539066259,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
114,0.010664975579564378,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
115,0.010664975584830885,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
116,0.01066497554930341,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
117,0.010664975497474338,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
118,0.01066497546178778,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
119,0.01066497545881045,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
120,0.01066497548043044,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
121,0.01066497550363684,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
122,0.01066497550917387,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
123,0.010664975494504963,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
124,0.01066497547252926,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
125,0.010664975459307302,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
126,0.010664975461790377,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
127,0.010664975474438971,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
128,0.010664975485363961,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
129,0.010664975485907158,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
130,0.010664975476372086,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
131,0.010664975464354728,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
132,0.010664975457921612,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
133,0.010664975459546895,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
134,0.010664975465316721,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
135,0.010664975469052073,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
136,0.010664975467327633,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
137,0.010664975461524727,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
138,0.010664975455955555,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
139,0.010664975454108955,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
140,0.01066497545614306,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
141,0.010664975459335915,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
142,0.010664975460653635,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
143,0.010664975459107542,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
144,0.01066497545614198,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
145,0.01066497545408631,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
146,0.010664975454180655,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
